category,bariba,french
Salutations et politesse,U man gɔɔrɔ kkãa dea nùn tɔbiri.,"Il m'a donné une cola, saluele. remercier : ."
Salutations et politesse,"Kɛ̃ɛ tè durɔ wi u sun kua mi, ta tɔbiribu tura.","Le cadeau que cet homme nous a offert, mérite remerciement."
Salutations et politesse,Tɔbirinaa ya dera ba ǹ kɛkɛn damu nua.,Les salutaions ont fait qu’ils n’ont :
Salutations et politesse,"Gãa nì nu wãa dunia yè sɔɔ kpuro, tɔnu u yè kere. Bɛsɛn tɔnu u na sàa Kandin di.","Parmi toutes les choses qui sont sur la terre, c'est l'homme qui est le plus grand. Salutation pour celui qui prend soin d'un autre. C'est un de nos parents qui est venu de Kandi."
Salutations et politesse,"À kùn tii naanɛ sãa, aku da mì ba koo tweena. ma u ǹ sɔ̃ re, wunɛ wì a twɛ̃ , mba kaa wa?","Si tu n'as : Celui qui est monté dans l'arbre, s'il n'a :"
Salutations et politesse,Wunɛn weru ta koo wunɛn tundo dore. Ton retour fera plaisir à ton père. Bɛɛ ka weru.,"Salutation à ceux qui reviennent d'un voyage, de champ ou d’ailleurs."
Salutations et politesse,Bɛsɛ ka wunde.,Salutation de personnes qui ne se sont :
Salutations et politesse,Wuu gen sindu ta wɛ̃ ra. Bɛsɛ ka wuu.,L'installation de ces villages est bien faite. Salutation quand arrive des événements pénibles au village.
Salutations et politesse,Sibu ba nawa bu man yiirasia.,Ils sont venus me demander pardon. .
Salutations et politesse,"Sunɔ, a man yisa kuo.","Chef, excuse-moi."
Salutations et politesse,"Gura yàn na, bibu ba ra ka tii yirenu tɛɛri.","S'il pleut, les enfants sesalissent avec de la boue. va:"
Salutations et politesse,"Gura yàn nɛmɔ, ba ra bii gɔriwa ù yɔ̃ɔyɔ̃ ɔru mwama. yɔ̃ɔyɔ̃ ɔra. yɔ̃ kpɛkpɛ/ yɔ̃ɔ kpèru","S'il pleut, on envoie un enfant chercher une charge fictive."
Nourriture et boissons,Agbansasa ya ku ra swĩ nde gbɛɛ diiku.,Le petit oiseau ne chante :
Nourriture et boissons,Bɛsɛn gberɔ agbansekunu nu dabi.,"Boerhavia diffusa (Nyctaginacées). Dans notre champ, il y a beaucoup d'herbes cochons."
Nourriture et boissons,Afɔ̃ nun kpee ka sɔkura yi rà n do.,La sauce de légume accompagne bien l'igname pilée.
Nourriture et boissons,Agɛdɛ ye ya do. Agɛdɛ ya yen nim mɔ gura ya sere na.,cette banane est bonne. Le bananier est gorgé d'eau même sans la pluie.
Nourriture et boissons,"Gunuban baan ananawa ba kua gin teeru. Woru Yorun anana sɔɔ, win bibu ba beka kɛ̃ ru kua mi gem gem.","grande cérémonie d’enlèvement de deuil. C’est la cérémonie funéraire du père de Gunu et ses frères qui s’est déroulée avant-hier. distribution de dons aux griots au cours des funérailles. Pendant la cérémonie funéraire de Worou Yorou, ses enfants ont distribué beaucoup de pagnes."
Nourriture et boissons,"Yè u wuu dɔɔ, uka arusɛkɛ yinna.","bonheur, espérance, providence. Quand il allait en voyage, il a rencontré un bonheur. ."
Nourriture et boissons,Ayɔ ga Simɛ mwa ga go.,Le sorcier a emprisonné l'âme de Zimé et l'a tué.
Nourriture et boissons,"Yè ba koo wii so, ma u wɔri bukurobun baa sɔɔ.","Quand on voulait le frapper, il s'est réfugié au milieu de grandes personnes."
Nourriture et boissons,U wãa win baa bɔru kpararun mi sere uka bukura. baa bɔru kparara. baa bɔru kparobu. baa bɔru kparoba.,Il est resté chez son beau-père jusqu'à un âge avancé.
Nourriture et boissons,Bɛsɛn gberun dãa bakarun wɔllɔ baa sinunkunu nu yibaa.,Le grand arbre de notre champ abrite beaucoup d'hirondelles.
Nourriture et boissons,Baaniwa ba rà ka saruru go. Ba biin boo sɔɔ baani doke.,arbre dont on emploie l'écorce pour tanner les peaux. C'est avec le baani que l'on tanne la peau. fruits utilisés pour le soin des plaies. On a mis le baani dans la plaie de l'enfant.
Nourriture et boissons,Nim mù bãara swãa baayeren nɔni biru.,Que l'eau tarisse devant chaque poisson.
Nourriture et boissons,"Yè bɛsɛn daarun nim mu den bãarama, yera ba nɛɛ ba koo bana se.",Ils ont attendu que l'eau de notre marigot commence à tarir pour dire qu'ils vont faire une construction.
Nourriture et boissons,Na yaa baasi tema.,J 'ai mangé de la chair .
Nourriture et boissons,Ba wii yaa babirisia .,On lui a fait toucher la viande plusieurs foisinacc.
Nourriture et boissons,Gunɔ bakeru ta suraa yaa gorun bɔkuɔ.,Un bakeru s'est posé près des restes d'un animal.
Nourriture et boissons,Bam ya nɔrubu do. Sa bam wa ba dɔramɔ bwãaru sɔɔ.,Le vin de palme est agréable à boire. Nous avons trouvé du vin de palme en vente dans une gourde.
Nourriture et boissons,Bɛsɛn gberɔ bango dãnu nu dabi. bango dãra. bango dãnu. bango dãna.,"Dans notre champ, il y a beaucoup d'arbustes pour circoncis."
Nourriture et boissons,"Wì bãru ta wɔri, u kù ra n maa kɔberun bɛrum mɔ. bãra bãnu.","fruit du rônier. Celui sur qui tombe le fruit du rônier, il n'a plus peur d'une taloche."
Nourriture et boissons,Nim mu wɔru gba ga basɔ kua.,L'eau a creusé un trou pour en faire une cavité.
Nourriture et boissons,Bake u nim mɛ bãwa.,Baké a débarrassé les saletés de la surface de l'eau. 2inacc.
Nourriture et boissons,Wɔmu baagere gu gen sɔ̃ɔn beeru di.,sorte de fruit sauvage de couleur jaune; Que chaque singe mange le fruit jaune de son arbre.
Nourriture et boissons,Na nɛn beku yaba kɛ̃ ru kua.,J'ai donné mon vieux pagne en cadeau.
Nourriture et boissons,"bekura  bekunu, beka; Bɔna u win bekuru deewa. Bona a porté son pagne. A ka siin bekuru do bù wɔ̃ ke.",Apporte son tissu au teinturier.
Nourriture et boissons,U win bibu yaa berisia.,Il a envoyé ses enfants vendre de la viande à la criée dans le village.
Nourriture et boissons,U da u yaa beruma.,Il est allé cacher la viande puis est revenu:
Nourriture et boissons,"Weke ten beun diya nim mu yarimɔ. Yè ya ku ra beu/boỏ ko, ya ku ra kɔre.",C'est de la fissure de la marmite que coule de l'eau. Ce qui ne fait de fissure ne se casse :
Nourriture et boissons,"bɛɛribu 'action de planer'; Mì yabereku ga yaa waamɔ, miya ga ra bɛɛri. kasa ya bɛɛrimɔ.",NDev: planer au-dessus. Le charognard plane là où il trouve de la viande. l'épervier plane.
Nourriture et boissons,"Gunɔ gen bɛɛribu bu kpã yam mi, su da su wa.","Cet oiseau plane trop de ce côté, allons voir ce qui se passe."
Nourriture et boissons,Gisɔra sa ko gbee kpaa ten bɛɛru tore.,C'est aujourd'hui que nous allons attaquer la première partie du nouveau champ.
Nourriture et boissons,Ben tasu su bɛm kua gisɔku gèLeur igname a beaucoup donné cette année. Gbãa yen bɛm mu wɔɔra.,"lame d'une hache, d'une houe ou d'un couteau. La lame de la hache est sortie du manche."
Nourriture et boissons,"Bana u dãa bɛ̃ ramɔ. Nɔɔ gè Gusunɔ u bɛ̃ ra, ga ǹ dim biamɔ. Worun baaba u man gĩa kɛ̃ ru bɛ̃ ra. kurɔ mɔro u kpee yi bɔru bɛ̃ ra.","Bana fend du bois. La bouche que Dieu a fendu trouvera toujours à manger. Hier, le père de Woru m'a fait un cadeau qui dépasse les limites raisonnables. mettre des condiments de façon exagérée dans la sauce, dépasser la dose. La ménagère a mis trop de sel dans la sauce."
Nourriture et boissons,Bii mɛro u soru bɛre. U tìm bɛre daaru sɔɔ.,La nourrice a préparé de la bouillie. jeter du poison dans l'eau pour tuer les poissons. Il a mis du poison dans le marigot.
Nourriture et boissons,U guroni bɛresi sɔ̃ɔ nim mɛsɔɔ.,Elle a ajouté la poudre de gombo sec àl’eau de soumbala au feu.
Nourriture et boissons,Bururun di tan bɛ̃ saa na di.,Depuis le matin je n'ai mangé qu'un morceau d'igname.
Nourriture et boissons,Na bɛsɛkunu duura nɛn gberɔ.,arbre à fruits comestibles. J'ai planté des bridelia dans mon champ.
Nourriture et boissons,Ben yaa ya bɛsɛgia bɔɔrum kere.,Leur viande est beaucoup moins cher que la nôtre.
Nourriture et boissons,Gunɔnguuru ta ra bɛsɛru di.,variété plante à fruits comestibles. Le rat mange ce fruit comestible.
Nourriture et boissons,Kurɔ wi u yina ù dãa ye bɛ̃ suku.,Cette femme a refusé de fendre ces bois.
Nourriture et boissons,Biɔnbii bɔru kpararu u gberu da. bii bɔru kparara. bii bɔru kparana,"Dans la maison de Bio, il y a beaucoup d'enfants de sa conjointe."
Nourriture et boissons,Bii mɛro u win bii bɔm kɛ̃ mɔ.,La mère allaite son enfant.
Nourriture et boissons,"Mɛ̀ bii swia ya nɛ, mɛna ya nɛ ba ka yabereku marà.","Tel est le moineau aujourd'hui, ainsi qu’il était quand le charognard naissait."
Nourriture et boissons,"Gros, immense, énorme. Biɔ uka win dokiri dãa bĩiru daawa. Wom kowo wi u dɔkɔ bĩiru mɔ.",Ce chanteur a une voix rauque.
Nourriture et boissons,"Nà n dĩa ni kpa, kaa nì binɛ ko.","Si je finis de préparer ce repas, tu auras envie de le manger. ."
Nourriture et boissons,"U win dĩanu di kpuro u man bira. Sa wuko gberenu kana, u sun bira.","Il a mangé toute sa nourriture sans rien me donner. refuser de donner. Nous avons demandé du maïs au cultivateur, il ne nous en a"
Nourriture et boissons,Mɔɔ birà sa ko di tɛ̃ ?,lequel? quel? Lequel des akassa allons-nous manger maintenant?
Nourriture et boissons,Woru ka Biɔ ba dĩanu birana.,Worou et Bio ont refusé de se donner de la nourriture.
Nourriture et boissons,"Kpaarun sɔ̃ɔ mi, birekunu nu yiba.","Dans la forêt à côté du village, il y a beaucoup de petites biches."
Nourriture et boissons,"Baa bireru tàn buram nɛ amɔ, ta ǹ kpɛ̃ tu nim nɛnɛ.","Le panier a beau être joli, il ne peut contenir de l'eau. oc."
Nourriture et boissons,Bɛɛn biru wurabu bu man dua gem gem.,Le fait que vous ayez reculé m'a fait beaucoup mal.
Nourriture et boissons,"Bom mùn wãa, kon soru nɔ.",S'il y a du lait je vais boire la bouillie. .
Nourriture et boissons,Mare u win bom bwãaru bɛkii uka kparabu dɔɔ. bom bwãara. bom bwãanu. bom bwãana.,"Sa gourde de lait en bandoulière, le Peulh va paître les boeufs."
Nourriture et boissons,"Bom mùn yam sãra, mu ra faani gɔsiewa.","Déposé jusqu’au lendemain, le lait frais se transforme en lait caillé."
Nourriture et boissons,"Boo ni, nu wekeru nɔɔkpɛ̃ɛ.",Les cabris ont mis leur museau dans le canari. .
Nourriture et boissons,Gbabu kɔnnɔwɔwa ba ra bòo gire.,On installe la jarre à eau devant la cuisine.
Nourriture et boissons,Boo buu gen wuri yu wɔnwɔndu kua.,Les cris du chevreau font pitié.
Nourriture et boissons,Boo kaaru ta numa.,La calebasse à puiser s'est immergée.
Nourriture et boissons,Sɔkura yikogii ura boo yaa sa ù ka win sɔkuru dɔra.,La vendeuse d'igname pilée prépare la viande de cabri pour vendre son igname pilée.
Nourriture et boissons,U bori keewa yiu koo ka tam ko.,Il a séché le mil germé.
Nourriture et boissons,"À n ka nim bakam dweemɔ, kaa bori.","disparaitre. Si tu joues avec de grandes eaux, tu vas périr."
Nourriture et boissons,Bɔnu kowo u ku ra win baa bie.,Celui qui fait les partages ne se prive Si tu dis que celui qui partage la viande n'aura :
Nourriture et boissons,Bɔ̃ɔ yiira ga na ga bɛsɛn gue go. bɔ̃ɔ yèruwa. bɔ̃ɔ yèrusu. bɔ̃ɔ yèrusa.,Un chien vagabond est venu tuer et manger nos poulets.
Nourriture et boissons,U ka win barɔ bɔɔka kua.,Il a consenti beaucoup de dépenses pour sauver son malade.
Nourriture et boissons,Worun tɛndu ta bɔɔkira.,L'arc de Woru s'est cassé en plusieurs morceaux.
Nourriture et boissons,Baa à n mɔru bbaraa ku wunɛn gama bɔɔku.,"Même si tu es faché, ne casse :"
Nourriture et boissons,U dĩanu böra da win kpaasin yɛnuɔ.,Il est allé parasiter son voisin.
Nourriture et boissons,"U binɛ mɔ, à n dera u yara, u koo bɔri.","C’est un glouton, si tu le laisses sortir, il va parasiter le repas des autresinacc."
Nourriture et boissons,ì kun doo kue sere bii ù bɔribu da.,Si vous ne cuisinez
Nourriture et boissons,U dãa te bɔtana u sere dɔ̃ɔ doke.,Il a découpé le bois avant de le mettre au feu.
Nourriture et boissons,"Gbãa ye, ya ǹ kpɛ̃ yù dãa bĩi te bɔtiri.",Cette hache ne peut :
Nourriture et boissons,"Yãki u win gum bua u kpa. À n bannu bannu barɔ, a gbeafu wurusu buo anɔ.","battre un liquide avec les mains. Yanki a fini de battre son beurre de karité. extraire l’essence de feuilles, en les écrasant avec les mains dans l'eau, malaxer, triturer. Si tu as la dysenterie, triture les feuilles de goyave pour boire."
Nourriture et boissons,Na gunɔn guu ten wɔru dɛki buesi.,J’ai obstrué le trou du rat de morceaux de bois.
Nourriture et boissons,"Sà n sɔ̃ɔ gen bubenu wa, sa wuu turuku kuawa.","Si nous voyons la ligne d'horizon de la forêt, nous arrivons au village."
Nourriture et boissons,U nim tìm bùe.,Il a saupoudré l’eau de médicament. buè. buè. buèyo
Nourriture et boissons,"Yè kurɔ wi u dweebu dua, win yɛnugibu ba nùn buki kua n banda. distribution d'argent. Kurɔ kpaa yaa bi sɔɔ Sabi u buki kua n banda.","Quand cette femme est entrée dans la danse, les gens de sa maison lui ont fait beaucoup de cadeaux. . . Au cours des festivités du mariage, Sabi a distribué beaucoup d'argent."
Nourriture et boissons,Sina bibu ba koo kĩasu ka gobi buki ko.,Les princesvont donner du tissu et de l'argent aux danseurs et aux griots.
Nourriture et boissons,Nim mɛn bumbu bu koo sɛ̃ sia.,Il sera difficile de maintenir en équilibre cette eau.
Nourriture et boissons,"A sere nim mɛbumɛ, a kaa piibuu ge teyo sãa sãa.","Avant decouvrir l'eau avec une petite calebasse pour l'empêcher d'éclabousser,il faut bien laver la petite calebasse."
Nourriture et boissons,U nim mɛ bùmia u sere mɛ̀ wisi boowɔ.,Inv1) débarrasser l’eau de ce qui la maintenait en équilibre. Elle a débarrassé l’eau de la petite calebasse qui la maintenait en équilibre avant de la verser dans la jarre.
Nourriture et boissons,A nim mɛ bumma mù ku raa paari.,"Couvre l’eau pour qu’elle ne balance , Base:"
Nourriture et boissons,Win nim mɛmu koo bunda.,Son eau peut être couverte.
Nourriture et boissons,Sii u man nim mɛ bundi.,Il a recouvert mon eau contre mon gré.
Nourriture et boissons,U som mɛ burina ka nim.,"mélanger, amalgamer. Elle a mélangé la farine à l’eau."
Nourriture et boissons,Ba kɔkɔru nim bunsi.,On a enfermé un insecte dans l’eau avec une petite calebasse.
Nourriture et boissons,Ba man tirasi kua ba man nim bunsia.,Ils m'ont forcé à recouvrir l'eau.
Nourriture et boissons,Tenku u naa bura dwa .,Le commerçant a acheté une jolievache.
Nourriture et boissons,yãa buranu.,De beaux vêtements.
Nourriture et boissons,kurɔ wi u gisɔ mɔɔ burabu kua.,Cette dame a préparé un akassa de bonne qualité aujourd'hui.
Nourriture et boissons,Wuu gen swaan buram mu banda.,La route qui mène dans ce village est très belle.
Nourriture et boissons,Ben baawere u buraru kua tɔ̃ɔ bakasɔ̃ nu. burara 44 burasi buriri,Chacun d'eux s'est fait beau le jour de fête.
Nourriture et boissons,"A nim sɔ̃ kama, su ka mɔɔbu buri.",Apporte de l'eau pour délayer de l'akassa.
Nourriture et boissons,Ben dii bi bu koo burira ka bom bekum.,Leur pâte peut être délayé avec du lait frais. .
Nourriture et boissons,Bii u win tundo dibu buriri diitiru sɔɔ.,L’enfant a délayé la pate 45 buriri bururasia contre le gré de son père dans le récipient de repas. .
Nourriture et boissons,A man yaa yen buro wĩɔ.,Donne-moi une partie de la viande.
Nourriture et boissons,"Yè beku te ta bururrama, u te kɔsa. Yè gari yi yu bururama, yera sa den yin nɔni wa.","Quand ce pagne a commencé à se déteindre, elle l’a changé. s’éclaicir , se démêler. Au fur et à mesure que la question se démêlait, nous avons vu de plus en plus clair."
Nourriture et boissons,U buturu so win wuswaawɔ.,Elle a passé de la poudre blanche sur son visage.
Nourriture et boissons,Bɔ̃ɔ gɔbu ge ga boo buu dɔma. Dãa buu baagere ga wãa kara ye sɔɔ.,"buna, bìna. Ce chien méchant a mordu un chevreau. On trouve dans ce jardin tous les fruits."
Nourriture et boissons,"A yè bɛrio wunɛn búu bɔkuɔ. búu baku/búu bɔku [búu baku/búu bɔku]aisselle. Daa ten mi, sa nim dua sere búu bɔkuɔ. búu wɔri / bũnu wɔri. búu wɔri]être saisi par un esprit. Tɔn diro ku ra bũnu wɔri kam kam.","Cache-le sous ton aisselle. U yè búu baariIl l'a pincé dans son aisselle búuwa. Dans ce marigot, nous avons eu de l'eau jusqu'au niveau des aisselles. Un homme ordinaire ne tombe ."
Nourriture et boissons,Na sɔku bũuru kɔ̃ .,J’ai jeté un grumeau d’igname pilée. .
Nourriture et boissons,Sa bwia gba daa tora sɔɔ.,Nous avons creusé un trou d’eau dans le courant du marigot. .
Nourriture et boissons,Sa ra bwãa yɔrɔ nim yibie su ka gberu da.,Nous mettons de l'eau dans une gourde au long cou pour aller au champ.
Nourriture et boissons,Bwãabwãabunu 48 bwɛɛ̃ ganutia bwãara/ bɔ̃ru nu bii wi kuni. bwãabwãabuwa. bwãabwãabunu. bwãabwãbuna.,Les moucherons fourmillent autour de l'enfant.
Nourriture et boissons,Kpee yi yu bwãara.,La sauce s'est gâtée.
Nourriture et boissons,Win bwɛ̃saya densure.,Il est guéri maintenant deson allergie.
Nourriture et boissons,Bii u nim bweru wɔri.,L’enfant est tombé dans une eau profonde. .
Nourriture et boissons,bwɛrɛmbwɛru ta ra sɔki ma. Le bwɛrɛmbwɛruproduit des gousses bwɛrɛmbwɛra.,arbre dont le fruit ressemble à de petites calebasses.
Nourriture et boissons,Gbɛsɛra ba ka sun pɛrɛku kua. On nous a préparé de la purée avec le fruit d’une calebasse gbɛsɛra gbɛsɛnu.,foc:
Nourriture et boissons,"Ba ǹ dɔkɔ mɔ wuu mi, bwia ba rà take.",Ils n'ont bwìi. bwìiya.
Nourriture et boissons,"Daaru mi, swɛ̃ɛ yi bwiamɔ gem gem. Tɔbio u nim bwiamɔ. Wara u maa kpam gari yi bwiama ?","remuer du fond, s’agiter ou se secouer du fond. Dans le marigot, les poissons se secouent beaucoup du fond de la mare. susciter une palabre, une contestation. Qui a encore rappelé cette affaire ?"
Nourriture et boissons,Karaku ga nim bwiama.,Le crocodile a remué de l'eau depuis le fond.
Nourriture et boissons,"Yè kpera wɔri nim sɔɔ, yera nim mu bwiara.","Quand la pierre est tombée dans l'eau, l’eau a produit des ondulations. nég."
